Generation,Indiv,Father,Mother,gvNormUnres1,EBV
1,118,0,0,-1.4848833594,-1.59616473075181
1,119,0,0,0.3137836785,0.107542797570097
1,120,0,0,0.30404039,-0.352824966234964
1,121,0,0,0.3406811592,0.190600465520826
1,122,0,0,0.2855022881,0.426632615402743
1,123,0,0,-0.8621531372,-0.821345117977071
1,124,0,0,0.2718810886,0.670648418167145
1,125,0,0,0.7224992761,0.422086675557873
1,126,0,0,-0.5996148713,-0.989196027319111
1,127,0,0,0.5080397181,-0.139055274668509
1,128,0,0,-0.2376695143,-1.08259903186372
1,129,0,0,0.2528585721,0.661302455807193
1,130,0,0,0.4551476282,0.0847515010265321
1,131,0,0,0.1145865178,-0.617175061585456
1,132,0,0,-0.5803858052,-0.926011931200844
1,133,0,0,0.2497965635,0.843546942976991
1,134,0,0,0.4890027034,1.04190241850596
1,135,0,0,0.0140027482,-0.0330794425594262
1,136,0,0,-0.5457450681,-1.1266797871729
1,137,0,0,-0.0955653151,-0.771480898899031
1,138,0,0,-0.163640306,-0.489468220222911
1,139,0,0,-0.5000786419,-0.031038071559954
1,140,0,0,-0.178748273,-0.66069437873781
1,141,0,0,-0.2360173726,-0.229258308904258
1,142,0,0,0.0624102723,0.299167534948282
1,143,0,0,1.3808385299,0.930226303098752
1,144,0,0,0.4695695923,0.197290615110603
1,145,0,0,0.5905381967,-0.0406223894710861
1,146,0,0,0.214310149,0.206724644280795
1,147,0,0,0.0280454495,-0.297023043240575
1,148,0,0,1.0152044895,0.98146738055268
1,149,0,0,0.3009937133,0.692000249647682
1,150,0,0,-0.7346727719,-0.529114317892005
1,151,0,0,-0.9732816472,-1.58962485620748
1,152,0,0,-0.7828618092,-1.19590454567685
1,153,0,0,-0.277814065,0.197781135927199
1,154,0,0,0.0252610336,-0.416044416335611
1,155,0,0,0.5904237892,0.54235846105231
1,156,0,0,-0.5004685409,-0.549085086901774
1,157,0,0,-0.2295421848,-0.954113879131601
1,158,0,0,-0.8643780714,-0.224257984897953
1,159,0,0,0.5234332761,0.886867858557211
1,160,0,0,-0.5156437541,-0.286385978165189
1,161,0,0,-0.856552083,0.0858467964866817
1,162,0,0,-0.8388686723,-0.231577101334041
1,163,0,0,-0.9686352632,-2.09534318049229
1,164,0,0,-0.2988118147,-0.0634694068602585
1,165,0,0,-0.1040729282,-0.905965249440043
1,166,0,0,0.3165388987,0.31146189944887
1,167,0,0,0.9904461495,0.183063089966931
1,168,0,0,-0.7517207882,-0.196675387518508
1,169,0,0,-0.0154000507,-0.200321121668695
1,170,0,0,1.8351957979,1.60500057445748
1,171,0,0,-0.2001828426,-0.0413701489399563
1,172,0,0,0.7340779985,1.09872785131866
1,173,0,0,-0.3868651031,-0.73468622416618
1,174,0,0,0.313204906,0.744277910311039
1,175,0,0,0.2562370034,0.85501608663321
1,176,0,0,0.1092850299,0.705384708753187
1,177,0,0,-0.1772697362,0.0707124932693567
1,178,0,0,-0.6529652592,-0.119775880610226
1,179,0,0,-0.0471180886,-0.445457248092517
1,180,0,0,0.8133419006,1.19265303121613
1,181,0,0,-0.0953283845,0.310831984197863
1,182,0,0,1.160173102,1.30691928108661
1,183,0,0,0.4699085347,0.125282675530553
1,184,0,0,-1.4971125455,-2.0183893635808
1,185,0,0,0.7090597306,0.368040588842756
1,186,0,0,0.7469198904,0.856859378441802
1,187,0,0,0.6683034962,0.438910552421249
1,188,0,0,-0.0065010575,-0.23467488765202
1,189,0,0,-0.3055585922,-0.851600374584517
1,190,0,0,-0.7173728347,0.154129022558037
1,191,0,0,-0.8406541338,0.0573896769416137
1,192,0,0,0.3843527363,0.645571540301838
1,193,0,0,-0.4290856542,-0.68952800676574
1,194,0,0,-0.6288911404,-0.725808444366567
1,195,0,0,-1.3259669025,-0.726029605600896
1,196,0,0,0.3217268307,-0.315582619211665
1,197,0,0,-1.1850647619,-1.00586906044143
1,198,0,0,-1.3852354869,-1.43173658973224
1,199,0,0,0.4533603001,0.0397758945803713
1,200,0,0,-0.9741128938,-1.31446135040547
1,201,0,0,-0.5490728442,-0.30551204781978
1,202,0,0,0.0451058711,-0.794172976357691
1,203,0,0,-0.3086951241,-0.596720643503134
1,204,0,0,-0.1641683361,1.23301171525109
1,205,0,0,-0.1270020034,-0.674459890976379
1,206,0,0,0.8567312725,0.79323508616424
1,207,0,0,0.4207207979,0.300444322747621
1,208,0,0,0.0724046398,-0.453659824689281
1,209,0,0,-0.6314524733,-0.541519697060479
1,210,0,0,0.2748080953,0.131088986913115
1,211,0,0,0.5838489535,0.585453887229036
1,212,0,0,1.0929613069,1.43220357898169
1,213,0,0,0.0076895405,-0.461444231139777
1,214,0,0,0.2500341688,0.041423746174076
1,215,0,0,0.0169735959,-0.0860958934945057
1,216,0,0,-0.2621802812,-0.131392790768773
1,217,0,0,0.2381366037,-0.102589061999263
1,218,0,0,0.3406811592,0.0268212373861649
1,219,0,0,0.5626794978,0.917880994273707
1,220,0,0,0.1626919709,0.037348273267734
1,221,0,0,-0.8409849432,-1.2346468257982
1,222,0,0,-0.4272477462,0.558337988251105
1,223,0,0,-0.7369182198,-0.44580764969898
1,224,0,0,-1.1149357158,-0.779324947078368
1,225,0,0,-0.1491948997,0.00810833031951064
1,226,0,0,-0.8862241755,-0.812562744949782
1,227,0,0,-0.1574577593,-0.405592164578983
1,228,0,0,-0.304275292,0.0256454415395629
1,229,0,0,1.0322365319,0.556595000688428
1,230,0,0,-0.3248767239,0.63396190843402
1,231,0,0,0.8079133696,1.1381269859518
1,232,0,0,0.4309523881,0.321253631104378
1,233,0,0,0.3175124402,0.813004985717619
1,234,0,0,-0.8008147098,-0.586786167385013
1,235,0,0,0.0353343697,-0.272602747851959
1,236,0,0,-0.8766012569,-1.05947408975484
1,237,0,0,0.3669831366,0.302624105734324
1,238,0,0,-0.2681073856,0.0155991809766052
1,239,0,0,-0.5415843553,-0.882261672853911
1,240,0,0,0.2258951145,-0.157528956630933
1,241,0,0,0.2163718803,-0.0337159943351933
1,242,0,0,-0.6161385599,-0.561702311743626
1,243,0,0,0.8431405565,1.4233370306475
1,244,0,0,0.5921024201,0.796887037352702
1,245,0,0,-0.1866392981,-0.457395036762805
1,246,0,0,-0.9582973631,-1.3552750336469
1,247,0,0,0.1084970405,0.304751364431954
1,248,0,0,0.0873614152,-0.0112566667843641
1,249,0,0,-0.0580639846,0.694385496998175
